scenario,h,seed,pair_id,evidence_kind,truth_description,case_id,coordinate_error_interpretation,neighbor_pair_count,eligible_pair_count,flagged_pair_count,old_nn_min_moved_mm,old_nn_threshold_shortfall_max_mm,guard_scope,case_total_seconds,arm,n,proposed_movement_count,alarm_count,alarm_fraction_of_proposed,accepted_movement_count,source_sheet_mae_before_mm,source_sheet_mae_after_mm,source_sheet_rmse_before_mm,source_sheet_rmse_after_mm,source_sheet_p95_error_after_mm,proposal_beneficial_count,proposal_harmful_count,beneficial_proposals_retained_count,beneficial_proposals_blocked_count,harmful_proposals_retained_count,harmful_proposals_blocked_count,potential_repair_sum_mm,repair_retained_sum_mm,repair_blocked_sum_mm,repair_retained_fraction,guard_seconds
wrong_layer_merge,0.4,101,paired_h0.4_seed101,independent_development_fixture,Two real source layers; merging erases their separation.,wrong_layer_merge_h0.4_seed101,Fixed XY support: absolute z error to each point's assigned true source surface; not nearest-surface reassignment.,1482,760,760,0.39999999999999947,5.551115123125783e-16,Single pass with original proposal; no iterative veto feedback.,0.005177445000299485,identity,400,400,0,0.0,0,0.05143561229051781,0.05143561229051781,0.05896801311023317,0.05896801311023317,0.09512931897589436,0,400,0,0,0,400,0.0,0.0,0.0,,0.0
wrong_layer_merge,0.4,101,paired_h0.4_seed101,independent_development_fixture,Two real source layers; merging erases their separation.,wrong_layer_merge_h0.4_seed101,Fixed XY support: absolute z error to each point's assigned true source surface; not nearest-surface reassignment.,1482,760,760,0.39999999999999947,5.551115123125783e-16,Single pass with original proposal; no iterative veto feedback.,0.005177445000299485,proposal,400,400,0,0.0,400,0.05143561229051781,3.0,0.05896801311023317,3.0,3.0,0,400,0,0,400,0,0.0,0.0,0.0,,0.0
wrong_layer_merge,0.4,101,paired_h0.4_seed101,independent_development_fixture,Two real source layers; merging erases their separation.,wrong_layer_merge_h0.4_seed101,Fixed XY support: absolute z error to each point's assigned true source surface; not nearest-surface reassignment.,1482,760,760,0.39999999999999947,5.551115123125783e-16,Single pass with original proposal; no iterative veto feedback.,0.005177445000299485,old_nn_guard,400,400,364,0.91,36,0.05143561229051781,0.3162130949966873,0.05896801311023317,0.9017264596698744,3.0,0,400,0,0,36,364,0.0,0.0,0.0,,0.00031392299933941104
wrong_layer_merge,0.4,101,paired_h0.4_seed101,independent_development_fixture,Two real source layers; merging erases their separation.,wrong_layer_merge_h0.4_seed101,Fixed XY support: absolute z error to each point's assigned true source surface; not nearest-surface reassignment.,1482,760,760,0.39999999999999947,5.551115123125783e-16,Single pass with original proposal; no iterative veto feedback.,0.005177445000299485,initial_gap_guard,400,400,400,1.0,0,0.05143561229051781,0.05143561229051781,0.05896801311023317,0.05896801311023317,0.09512931897589436,0,400,0,0,0,400,0.0,0.0,0.0,,0.0003108119999524206
valid_ghost_merge,0.4,101,paired_h0.4_seed101,reused_observation_alternative_truth,One real plane; the two observed heights are ghosts.,valid_ghost_merge_h0.4_seed101,Fixed XY support: absolute z error to each point's assigned true source surface; not nearest-surface reassignment.,1482,760,760,0.39999999999999947,5.551115123125783e-16,Single pass with original proposal; no iterative veto feedback.,0.004149829001107719,identity,400,400,0,0.0,0,2.9966155969283954,2.9966155969283954,2.9971938222511634,2.9971938222511634,3.0899120533357682,400,0,0,400,0,0,1198.6462387713582,0.0,1198.6462387713582,0.0,0.0
valid_ghost_merge,0.4,101,paired_h0.4_seed101,reused_observation_alternative_truth,One real plane; the two observed heights are ghosts.,valid_ghost_merge_h0.4_seed101,Fixed XY support: absolute z error to each point's assigned true source surface; not nearest-surface reassignment.,1482,760,760,0.39999999999999947,5.551115123125783e-16,Single pass with original proposal; no iterative veto feedback.,0.004149829001107719,proposal,400,400,0,0.0,400,2.9966155969283954,0.0,2.9971938222511634,0.0,0.0,400,0,400,0,0,0,1198.6462387713582,1198.6462387713582,0.0,1.0,0.0
valid_ghost_merge,0.4,101,paired_h0.4_seed101,reused_observation_alternative_truth,One real plane; the two observed heights are ghosts.,valid_ghost_merge_h0.4_seed101,Fixed XY support: absolute z error to each point's assigned true source surface; not nearest-surface reassignment.,1482,760,760,0.39999999999999947,5.551115123125783e-16,Single pass with original proposal; no iterative veto feedback.,0.004149829001107719,old_nn_guard,400,400,364,0.91,36,2.9966155969283954,2.728550887344926,2.9971938222511634,2.860841822285588,3.0893579155317523,400,0,36,364,0,0,1198.6462387713582,107.22588383338753,1091.4203549379706,0.08945582138004012,0.00035762500192504376
valid_ghost_merge,0.4,101,paired_h0.4_seed101,reused_observation_alternative_truth,One real plane; the two observed heights are ghosts.,valid_ghost_merge_h0.4_seed101,Fixed XY support: absolute z error to each point's assigned true source surface; not nearest-surface reassignment.,1482,760,760,0.39999999999999947,5.551115123125783e-16,Single pass with original proposal; no iterative veto feedback.,0.004149829001107719,initial_gap_guard,400,400,400,1.0,0,2.9966155969283954,2.9966155969283954,2.9971938222511634,2.9971938222511634,3.0899120533357682,400,0,0,400,0,0,1198.6462387713582,0.0,1198.6462387713582,0.0,0.00028036000003339723
within_layer_noise_repair,0.4,101,,independent_development_fixture,Two source layers with small within-layer observation noise.,within_layer_noise_repair_h0.4_seed101,Fixed XY support: absolute z error to each point's assigned true source surface; not nearest-surface reassignment.,1482,760,0,0.5656854249492372,0.0,Single pass with original proposal; no iterative veto feedback.,0.004312160002882592,identity,400,400,0,0.0,0,0.050267529844178434,0.050267529844178434,0.05775204078013998,0.05775204078013998,0.09662338675014996,400,0,0,400,0,0,20.107011937671373,0.0,20.107011937671373,0.0,0.0
within_layer_noise_repair,0.4,101,,independent_development_fixture,Two source layers with small within-layer observation noise.,within_layer_noise_repair_h0.4_seed101,Fixed XY support: absolute z error to each point's assigned true source surface; not nearest-surface reassignment.,1482,760,0,0.5656854249492372,0.0,Single pass with original proposal; no iterative veto feedback.,0.004312160002882592,proposal,400,400,0,0.0,400,0.050267529844178434,0.0,0.05775204078013998,0.0,0.0,400,0,400,0,0,0,20.107011937671373,20.107011937671373,0.0,1.0,0.0
